row_number	crash_date	crash_report_id	crash_time	collision_type	street_or_highway	nearest_intersection	report_date	type_of_roadway	road_surface_condition	light_condition	weather_condition	manner_of_impact	hit_and_run	traffic_control	person_count	injury_count	most_serious_injury	number_of_lanes	lat_raw	lon_raw	count_pedestrian	count_bicycle	scooter	wheel_chair	number_of_vehicles	has_st_number	is_intersection_null	address_sent_to_geocoder	is_address_blank	lon_api_first_try	lat_api_first_try	type	loctype	address_returned_by_geocoder	address_returned_by_autocomplete	place_ids_autocompleted	lat_api_second_try	lon_api_second_try	lat_api_best	lon_api_best	distance_btwn_coords_meters
496	2025-11-20	930187	09:02:00	Pedestrian	35 PLAINFIELD ST	DIKE ST	2025-11-20	Unknown	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	2	1	Complains Of Pain	NA	41.81627	-71.44457	1	NA	FALSE	FALSE	1	TRUE	FALSE	35 Plainfield Street, Providence, RI, USA	FALSE	-71.4446954	41.8166586	street_address	rooftop	35 plainfield st, providence, ri 02909, usa	NA	NA	NA	NA	41.8166586	-71.4446954	44.49222703923175
497	2025-11-20	930197	17:09:00	Pedestrian	GEORGE ST	HOPE ST	2025-11-20	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Other	No	No Controls	2	1	Complains Of Pain	NA	41.82579	-71.39727	1	NA	FALSE	FALSE	1	FALSE	FALSE	George Street and Hope Street, Providence, RI, USA	FALSE	-71.3972704	41.8257902	intersection	geometric_center	hope st & george st, providence, ri 02906, usa	NA	NA	NA	NA	41.8257902	-71.3972704	0.03995826066096828
498	2025-11-21	930240	16:01:00	Bicycle	CHAD BROWN ST	CAMDEN AVE	2025-11-21	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	Stop Signs	2	1	Complains Of Pain	NA	41.83888	-71.42671	NA	1	FALSE	FALSE	1	FALSE	FALSE	Chad Brown Street and Camden Ave, Providence, RI, USA	FALSE	-71.4267042	41.8388958	intersection	geometric_center	chad brown st & camden ave, providence, ri 02908, usa	NA	NA	NA	NA	41.8388958	-71.4267042	1.823439817151021
499	2025-11-23	930284	09:23:00	Pedestrian	EVERETT AVE	WAYLAND AVE	2025-11-23	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	1	1	Complains Of Pain	NA	41.83623	-71.38971	1	NA	FALSE	FALSE	1	FALSE	FALSE	Everett Ave and Wayland Ave, Providence, RI, USA	FALSE	-71.3897863	41.8361617	intersection	geometric_center	wayland ave & everett ave, providence, ri 02906, usa	NA	NA	NA	NA	41.8361617	-71.3897863	9.892131235009572
500	2025-11-24	930318	16:58:00	Pedestrian	prairie ave	BOGMAN ST	2025-11-24	Two-Way , Not Divided	Dry	Daylight	Clear	Other	No	No Controls	2	2	Complains Of Pain	NA	41.8062	-71.41509	1	NA	FALSE	FALSE	1	FALSE	FALSE	Prairie Ave and Bogman Street, Providence, RI, USA	FALSE	-71.4150798	41.8062158	intersection	geometric_center	bogman st & prairie ave, providence, ri 02905, usa	NA	NA	NA	NA	41.8062158	-71.4150798	1.9518958086938738
502	2025-11-25	930337	09:01:00	Other	VIOLET ST	CHALKSTONE AVE	2025-11-25	Two-Way , Not Divided	Dry	Daylight	Clear	Angle (Front - to - Side) Right Angle (Includes Broadside)	Yes, Driver Left Scene	Stop Signs	1	0	No Injury	NA	41.83492	-71.42668	NA	NA	TRUE	FALSE	2	FALSE	FALSE	Violet Street and Chalkstone Ave, Providence, RI, USA	FALSE	-71.4266809	41.8349672	intersection	geometric_center	violet st & chalkstone ave, providence, ri 02908, usa	NA	NA	NA	NA	41.8349672	-71.4266809	5.25481018604671
505	2025-11-29	930434	17:54:00	Pedestrian	KENNEDY PLZ	DORRANCE ST	2025-11-29	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	1	1	Complains Of Pain	NA	41.82436	-71.41206	1	NA	FALSE	FALSE	1	FALSE	FALSE	Kennedy Plz and Dorrance Street, Providence, RI, USA	FALSE	-71.4123015	41.824129	intersection	geometric_center	kennedy plaza & dorrance st, providence, ri 02903, usa	NA	NA	NA	NA	41.824129	-71.4123015	32.597448772307835
506	2025-11-29	930437	15:55:00	Pedestrian	BROAD ST	FRICKER ST	2025-11-29	Unknown	Dry	Daylight	Clear	Rear End(Front-to-Rear)	No	No Controls	4	1	Complains Of Pain	NA	41.81532	-71.42064	1	NA	FALSE	FALSE	2	FALSE	FALSE	Broad Street and Fricker Street, Providence, RI, USA	FALSE	-71.4206052	41.8153888	intersection	geometric_center	fricker st & broad st, providence, ri 02903, usa	NA	NA	NA	NA	41.8153888	-71.4206052	8.184923409750937
507	2025-11-29	930444	21:51:00	Bicycle	MANTON AVE	ANDERSON ST	2025-11-29	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	Stop Signs	1	1	Complains Of Pain	NA	41.82277	-71.45027	NA	1	FALSE	FALSE	1	FALSE	FALSE	Manton Ave and Anderson Street, Providence, RI, USA	FALSE	-71.4501863	41.822703	intersection	geometric_center	anderson st & manton ave, providence, ri 02909, usa	NA	NA	NA	NA	41.822703	-71.4501863	10.19016730791232
510	2025-12-02	930546	07:40:00	Bicycle	DANFORTH ST	DANFORTH ST	2025-12-02	Two-Way , Not Divided	Wet	Daylight	Rain	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	2	1	Complains Of Pain	NA	41.83601	-71.42639	NA	1	FALSE	FALSE	1	FALSE	FALSE	Danforth Street and Danforth Street, Providence, RI, USA	FALSE	-71.4263549	41.8359527	route	geometric_center	danforth st, providence, ri 02908, usa	NA	NA	NA	NA	41.8359527	-71.4263549	7.011529943935234
511	2025-12-03	930587	16:20:00	Pedestrian	PUTNAM ST	HALE ST	2025-12-03	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Complains Of Pain	NA	41.82386	-71.44388	1	NA	FALSE	FALSE	1	FALSE	FALSE	Putnam Street and Hale Street, Providence, RI, USA	FALSE	-71.4438638	41.8239593	intersection	geometric_center	hale st & putnam st, providence, ri 02909, usa	NA	NA	NA	NA	41.8239593	-71.4438638	11.135415091731087
512	2025-12-03	930593	15:57:00	Pedestrian	SERVICE ROAD 7	BROADWAY	2025-12-03	One-Way Trafficway	Dry	Daylight	Clear	Other	No	Pavement Markings	5	0	No Injury	NA	41.8213	-71.42072	1	NA	FALSE	FALSE	2	FALSE	FALSE	Service Road 7 and Broadway, Providence, RI, USA	FALSE	-71.4208372	41.8218293	intersection	geometric_center	service rd 1 & broadway, providence, ri 02903, usa	NA	NA	NA	NA	41.8218293	-71.4208372	59.718194676385956
513	2025-12-04	930623	17:54:00	Pedestrian	ELMWOOD AVE	POTTERS AVE	2025-12-04	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Other	No	Traffic Control Signal	3	1	Complains Of Pain	NA	NA	NA	1	NA	FALSE	FALSE	1	FALSE	FALSE	Elmwood Ave and Potters Ave, Providence, RI, USA	FALSE	-71.4263526	41.8015181	intersection	geometric_center	potters ave & elmwood ave, providence, ri 02907, usa	NA	NA	NA	NA	41.8015181	-71.4263526	NA
514	2025-12-05	930658	16:40:00	Pedestrian	THURBERS AVE	PRAIRIE AVE	2025-12-05	Two-Way , Not Divided	Dry	Dark - Not Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	Pavement Markings	2	2	Complains Of Pain	NA	41.79873	-71.41191	2	NA	FALSE	FALSE	1	FALSE	FALSE	Thurbers Ave and Prairie Ave, Providence, RI, USA	FALSE	-71.4119137	41.79874969999999	intersection	geometric_center	thurbers ave & prairie ave, providence, ri 02905, usa	NA	NA	NA	NA	41.79874969999999	-71.4119137	2.2143858891825277
515	2025-12-05	930659	17:36:00	Pedestrian	OAKLAND AVE	SMITH ST	2025-12-05	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	4	1	Complains Of Pain	NA	41.83623	-71.43046	1	NA	FALSE	FALSE	1	FALSE	FALSE	Oakland Ave and Smith Street, Providence, RI, USA	FALSE	-71.4304398	41.83624229999999	intersection	geometric_center	oakland ave & smith st, providence, ri 02908, usa	NA	NA	NA	NA	41.83624229999999	-71.4304398	2.163712507912042
516	2025-12-06	930681	02:57:00	Pedestrian	BRIDGE STREET	POINT ST	2025-12-06	One-Way Trafficway	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	2	1	Complains Of Pain	NA	41.81835	-71.40262	1	NA	FALSE	FALSE	1	FALSE	FALSE	Bridge Street and Point Street, Providence, RI, USA	FALSE	-71.40234699999999	41.8184601	intersection	geometric_center	point st & bridge st, providence, ri 02903, usa	NA	NA	NA	NA	41.8184601	-71.40234699999999	25.752255435579325
