row_number	crash_date	crash_report_id	crash_time	collision_type	count_pedestrian	count_bicycle	scooter	wheel_chair	number_of_vehicles	street_or_highway	nearest_intersection	report_date	type_of_roadway	road_surface_condition	light_condition	weather_condition	manner_of_impact	hit_and_run	traffic_control	person_count	injury_count	most_serious_injury	number_of_lanes	lat_raw	lon_raw	has_st_number	is_intersection_null	address_sent_to_geocoder	api_coord_conf	best_coordinate_set	manually_qaed_record	street_intersects_self	best_coordinate_set_expanded	final_lat	final_lon	year	month
108	2023-08-06	898714	08:52:00	Pedestrian	1	NA	TRUE	FALSE	1	CHALKSTONE AVE	RIVER AVE	2023-08-06	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	3	1	Pain Reported	NA	41.83258	-71.43854	FALSE	FALSE	Chalkstone Ave and River Ave, Providence, RI, USA	NA	NA	FALSE	FALSE	Raw	41.83258	-71.43854	2023	August
109	2023-08-07	898763	15:35:00	Bicycle	NA	NA	FALSE	FALSE	3	COLFAX ST	GORDON AVE	2023-08-07	Two-Way , Not Divided	Dry	Daylight	Clear	Sideswipe, Same Direction	No	No Controls	3	1	Pain Reported	NA	41.79888	-71.41549	FALSE	FALSE	Colfax Street and Gordon Ave, Providence, RI, USA	NA	Geocoded	TRUE	FALSE	Geocoded	NA	NA	2023	August
110	2023-08-09	898827	18:11:00	Pedestrian	1	NA	TRUE	FALSE	1	OAKLAND AVE	SMITH ST	2023-08-09	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Non-Incapacitating	NA	41.83623	-71.43046	FALSE	FALSE	Oakland Ave and Smith Street, Providence, RI, USA	NA	NA	FALSE	FALSE	Raw	41.83623	-71.43046	2023	August
111	2023-08-10	898859	15:41:00	Pedestrian	1	NA	FALSE	FALSE	1	ELMWOOD AVE.	LONGFELLOW ST	2023-08-10	Unknown	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Pain Reported	NA	41.79065	-71.42218	FALSE	FALSE	Elmwood Ave. and Longfellow Street, Providence, RI, USA	NA	NA	FALSE	FALSE	Raw	41.79065	-71.42218	2023	August
112	2023-08-12	898922	15:05:00	Bicycle	NA	1	FALSE	FALSE	1	WICKENDEN ST	S MAIN ST	2023-08-12	Two-Way, Divided, Positive Median Barrier	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	2	1	Pain Reported	NA	41.81908	-71.40106	FALSE	FALSE	Wickenden Street and S Main Street, Providence, RI, USA	NA	NA	FALSE	FALSE	Raw	41.81908	-71.40106	2023	August
113	2023-08-13	898988	23:02:00	Pedestrian	1	NA	TRUE	FALSE	1	HARTFORD AVE	US HWY 6 E	2023-08-13	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Dark - Lighted	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	Yes	No Controls	2	1	Pain Reported	NA	41.81713	-71.44856	FALSE	FALSE	Hartford Ave and Us Hwy 6 E, Providence, RI, USA	NA	Raw	TRUE	FALSE	Raw	41.81713	-71.44856	2023	August
114	2023-08-14	899013	19:32:00	Pedestrian	1	NA	FALSE	FALSE	1	HOPE ST	GLENDALE AVE	2023-08-14	Two-Way , Not Divided	Dry	Dawn	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	2	1	Pain Reported	NA	41.84739	-71.39582	FALSE	FALSE	Hope Street and Glendale Ave, Providence, RI, USA	NA	NA	FALSE	FALSE	Raw	41.84739	-71.39582	2023	August
115	2023-08-14	899010	17:06:00	Pedestrian	1	NA	TRUE	FALSE	1	TRENTON ST	IVES ST	2023-08-14	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Stop Signs	2	1	Pain Reported	NA	41.82096	-71.3919	FALSE	FALSE	Trenton Street and Ives Street, Providence, RI, USA	NA	NA	FALSE	FALSE	Raw	41.82096	-71.3919	2023	August
116	2023-08-15	899062	20:51:00	Bicycle	NA	1	FALSE	FALSE	1	FORD ST	DEXTER ST	2023-08-15	Two-Way , Not Divided	Wet	Dark - Lighted	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	No	Stop Signs	4	1	Pain Reported	NA	41.80864	-71.42816	FALSE	FALSE	Ford Street and Dexter Street, Providence, RI, USA	NA	NA	FALSE	FALSE	Raw	41.80864	-71.42816	2023	August
117	2023-08-16	899085	16:57:00	Bicycle	NA	1	FALSE	FALSE	1	CHARLES ST	CANAL ST	2023-08-16	Two-Way , Not Divided	Dry	Daylight	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	0	No Injury	4	41.83321	-71.41131	FALSE	FALSE	Charles Street and Canal Street, Providence, RI, USA	NA	Raw	TRUE	FALSE	Raw	41.83321	-71.41131	2023	August
