row_number,crash_date,crash_report_id,crash_time,collision_type,count_pedestrian,count_bicycle,scooter,wheel_chair,number_of_vehicles,street_or_highway,nearest_intersection,report_date,type_of_roadway,road_surface_condition,light_condition,weather_condition,manner_of_impact,hit_and_run,traffic_control,person_count,injury_count,most_serious_injury,number_of_lanes,lat_raw,lon_raw,has_st_number,is_intersection_null,address_sent_to_geocoder,is_address_blank,lon_api_first_try,lat_api_first_try,type,loctype,address_returned_by_geocoder,address_returned_by_autocomplete,place_ids_autocompleted,lat_api_second_try,lon_api_second_try,lat_api_best,lon_api_best,api_coord_conf,distance_btwn_coords_meters
1356,2018-04-26,725895,16:13:00,Bicycle,NA,1,FALSE,FALSE,1,718 PLAINFIELD ST,NA,26-Apr-18,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,2,1,Complains Of Pain,2,41.81124,-71.46197,TRUE,TRUE,"718 Plainfield Street, Providence, RI, USA",FALSE,-71.46177089999999,41.81104879999999,premise,rooftop,"718 plainfield st, providence, ri 02909, usa",NA,NA,NA,NA,41.81104879999999,-71.46177089999999,High,26.94289115060114
1357,2018-04-26,726183,19:34:00,Bicycle,NA,1,FALSE,FALSE,1,EAST DR,GENERAL ST,26-Apr-18,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,2,1,Complains Of Pain,NA,41.85324,-71.44271,FALSE,FALSE,"East Dr and General Street, Providence, RI, USA",FALSE,-71.442604,41.853462,route,geometric_center,"general st, providence, ri, usa","East Dr & General Street, Providence, RI, USA",Ei1FYXN0IERyICYgR2VuZXJhbCBTdHJlZXQsIFByb3ZpZGVuY2UsIFJJLCBVU0EiZiJkChQKEgnnipL3T0TkiRGmaku_BabYSBIUChIJ54qS909E5IkRpmpLvwWm2EgaFAoSCYnHNJVPROSJEWCa9HBzDZ2OGhQKEgntV2L2T0TkiRG5nQC9Pwo3_yIKDdxU8hgVSLlq1Q,41.853462,-71.442604,41.853462,-71.442604,Med,26.22934640491794
1358,2018-04-24,724893,07:23:00,Pedestrian,1,NA,FALSE,FALSE,1,POWER ST,THAYER ST,24-Apr-18,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Pavement Markings,3,1,Complains Of Pain,NA,41.82296,-71.39996,FALSE,FALSE,"Power Street and Thayer Street, Providence, RI, USA",FALSE,-71.4000173,41.8229706,intersection,geometric_center,"thayer st & power st, providence, ri 02912, usa",NA,NA,NA,NA,41.8229706,-71.4000173,Med High,4.897664862221809
1359,2018-04-23,724379,13:39:00,Pedestrian,1,NA,FALSE,FALSE,1,BROAD ST,ADELAIDE AVE,23-Apr-18,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,1,1,Complains Of Pain,NA,41.79874,-71.41534,FALSE,FALSE,"Broad Street and Adelaide Ave, Providence, RI, USA",FALSE,-71.4229955,41.7965181,route,geometric_center,"adelaide ave, providence, ri 02907, usa","Broad Street & Adelaide Ave, Providence, RI, USA",EjBCcm9hZCBTdHJlZXQgJiBBZGVsYWlkZSBBdmUsIFByb3ZpZGVuY2UsIFJJLCBVU0EiZiJkChQKEgmHmKxWiE_kiRHEyK6zP1G3PRIUChIJh5isVohP5IkRxMiusz9Rtz0aFAoSCYPefdWMT-SJESyiypOYSwijGhQKEgn7ze1zhE_kiRG6QeI0WTshsiIKDUkA6hgV2dxu1Q,41.7988681,-71.4154791,41.7988681,-71.4154791,Med,18.346725980801843
1360,2018-04-23,724398,15:19:00,Pedestrian,1,NA,FALSE,FALSE,1,235 Eaton St,RADCLIFFE AVE,23-Apr-18,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,3,1,Complains Of Pain,NA,41.84115,-71.43001,TRUE,FALSE,"235 Eaton Street, Providence, RI, USA",FALSE,-71.436298,41.8418768,street_address,rooftop,"235 eaton st, providence, ri 02908, usa",NA,NA,NA,NA,41.8418768,-71.436298,High,527.716860493369
1361,2018-04-22,724088,13:23:00,Pedestrian,1,NA,FALSE,FALSE,1,DOUGLAS AVE,WAYNE ST,22-Apr-18,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,3,1,Non-Incapacitating,NA,41.83594,-71.41935,FALSE,FALSE,"Douglas Ave and Wayne Street, Providence, RI, USA",FALSE,-71.419648,41.8360754,intersection,geometric_center,"wayne st & douglas ave, providence, ri 02908, usa",NA,NA,NA,NA,41.8360754,-71.419648,Med High,28.949304744175986
1362,2018-04-17,722323,14:42:00,Pedestrian,1,NA,FALSE,FALSE,1,291 Thayer st,CUSHING ST,17-Apr-18,One-Way Trafficway,Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Stop Signs,2,1,Complains Of Pain,NA,41.83,-71.4009,TRUE,FALSE,"291 Thayer Street, Providence, RI, USA",FALSE,-71.40064269999999,41.8299213,premise,rooftop,"291 thayer st, providence, ri 02906, usa",NA,NA,NA,NA,41.8299213,-71.40064269999999,High,23.070473732734257
1363,2018-04-14,721313,12:09:00,Pedestrian,1,NA,FALSE,FALSE,1,1010 CHALKSTONE AVENUE,TIFFANY ST,14-Apr-18,"Two-Way , Not Divided",Dry,Daylight,Clear,Other,No,No Controls,2,1,Complains Of Pain,NA,41.83226,-71.44098,TRUE,FALSE,"1010 Chalkstone Avenue, Providence, RI, USA",FALSE,-71.44123259999999,41.8320232,premise,rooftop,"1010 chalkstone ave, providence, ri 02908, usa",NA,NA,NA,NA,41.8320232,-71.44123259999999,High,33.67267990669325
1364,2018-04-12,720530,15:29:00,Pedestrian,1,NA,FALSE,FALSE,1,Althea St,Union Ave,12-Apr-18,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,2,1,Complains Of Pain,NA,41.80934,-71.43873,FALSE,FALSE,"Althea Street and Union Ave, Providence, RI, USA",FALSE,-71.4384298,41.8092666,intersection,geometric_center,"althea st & union ave, providence, ri 02909, usa",NA,NA,NA,NA,41.8092666,-71.4384298,Med High,26.214695446361297
1365,2018-04-11,720016,21:46:00,Pedestrian,1,NA,FALSE,FALSE,1,HAGAN ST,Charles St,11-Apr-18,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Stop Signs,3,1,Complains Of Pain,NA,41.85707,-71.42112,FALSE,FALSE,"Hagan Street and Charles Street, Providence, RI, USA",FALSE,-71.4211236,41.8570841,intersection,geometric_center,"charles st & hagan st, providence, ri 02904, usa",NA,NA,NA,NA,41.8570841,-71.4211236,Med High,1.597733277579716
1366,2018-04-06,717576,14:55:00,Pedestrian,1,NA,FALSE,FALSE,1,BROAD ST,BROAD ST,06-Apr-18,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Wet,Daylight,Snow,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",Pavement Markings,2,1,Complains Of Pain,NA,41.80572,-71.41978,FALSE,FALSE,"Broad Street and Broad Street, Providence, RI, USA",FALSE,-71.4101636,41.7945838,route,geometric_center,"broad st, providence, ri, usa",NA,NA,NA,NA,41.7945838,-71.4101636,Med,1474.327093882423
1367,2018-04-06,717770,20:09:00,Pedestrian,1,NA,FALSE,FALSE,1,DOUGLAS AVE,DOUGLAS AVE,06-Apr-18,"Two-Way , Not Divided",Wet,Dark - Lighted,Cloudy,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,2,1,Complains Of Pain,NA,41.83567,-71.41871,FALSE,FALSE,"Douglas Ave and Douglas Ave, Providence, RI, USA",FALSE,-71.4649957,41.8715442,intersection,geometric_center,"douglas turnpike & douglas ave, north providence, ri 02904, usa",NA,NA,NA,NA,41.8715442,-71.4649957,Med High,5538.692897804954
1368,2018-04-03,716182,13:01:00,Pedestrian,1,NA,FALSE,FALSE,1,S MAIN ST,COLLEGE ST,03-Apr-18,One-Way Trafficway,Dry,Daylight,Cloudy,Not a Collision Between Two Motor Vehicles in Transport,No,Pavement Markings,2,1,Complains Of Pain,NA,41.82528,-71.40756,FALSE,FALSE,"S Main Street and College Street, Providence, RI, USA",FALSE,-71.4078251,41.8256787,intersection,geometric_center,"s main st & college st, providence, ri 02903, usa",NA,NA,NA,NA,41.8256787,-71.4078251,Med High,49.5323630488524
1369,2018-04-02,715753,12:00:00,Pedestrian,1,NA,FALSE,FALSE,1,ELM ST,EDDY ST,02-Apr-18,"Two-Way , Not Divided",Wet,Daylight,"Sleet, Hail (Freezing Rain or Drizzle)",Other,No,No Controls,4,1,Non-Incapacitating,NA,41.81825,-71.40748,FALSE,FALSE,"Elm Street and Eddy Street, Providence, RI, USA",FALSE,-71.4072274,41.8059506,route,geometric_center,"eddy st, providence, ri, usa","Elm Street & Eddy Street, Providence, RI, USA",Ei1FbG0gU3RyZWV0ICYgRWRkeSBTdHJlZXQsIFByb3ZpZGVuY2UsIFJJLCBVU0EiZiJkChQKEgk30H23akXkiRHHyJmHGhfFLxIUChIJN9B9t2pF5IkRx8iZhxoXxS8aFAoSCTetlBxrReSJEdFjUH7rFNSdGhQKEgk7THgZZ0XkiRFtx11RWtRKyCIKDfT17BgVSxZw1Q,41.8182644,-71.40745489999999,41.8182644,-71.40745489999999,Med,2.6278916681488056
1370,2018-04-02,715886,15:11:00,Pedestrian,1,NA,FALSE,FALSE,1,BROADWAY,SERVICE ROAD 8,02-Apr-18,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Traffic Control Signal,3,1,Complains Of Pain,NA,41.82212,-71.41976,FALSE,FALSE,"Broadway and Service Road 8, Providence, RI, USA",FALSE,-71.391257,41.7939064,street_address,range_interpolated,"8 service rd, providence, ri 02905, usa",NA,NA,NA,NA,41.7939064,-71.391257,Med High,3931.6188190658218
1371,2018-03-30,714851,12:53:00,Pedestrian,1,NA,FALSE,FALSE,1,SALMON ST,MANTON AVE,30-Mar-18,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Pavement Markings,3,1,Complains Of Pain,NA,41.82521,-71.45405,FALSE,FALSE,"Salmon Street and Manton Ave, Providence, RI, USA",FALSE,-71.4539247,41.82510970000001,intersection,geometric_center,"salmon st & manton ave, providence, ri 02909, usa",NA,NA,NA,NA,41.82510970000001,-71.4539247,Med High,15.254556053315385
1372,2018-03-27,713626,17:39:00,Pedestrian,1,NA,FALSE,FALSE,1,Dean Street,BROADWAY,27-Mar-18,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,2,1,Non-Incapacitating,2,41.82133,-71.42247,FALSE,FALSE,"Dean Street and Broadway, Providence, RI, USA",FALSE,-71.42253099999999,41.821414,intersection,geometric_center,"dean st & broadway, providence, ri 02903, usa",NA,NA,NA,NA,41.821414,-71.42253099999999,Med High,10.632327634815507
1373,2018-03-26,713019,18:01:00,Bicycle,NA,1,FALSE,FALSE,1,159 WEYBOSSET ST,NA,26-Mar-18,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,5,1,Complains Of Pain,2,41.82249,-71.41157,TRUE,TRUE,"159 Weybosset Street, Providence, RI, USA",FALSE,-71.4118003,41.8225458,premise,rooftop,"159 weybosset st, providence, ri 02903, usa",NA,NA,NA,NA,41.8225458,-71.4118003,High,20.089396144627788
1374,2018-03-21,711316,16:26:00,Pedestrian,1,NA,FALSE,FALSE,1,881 WESTMINSTER ST,NA,21-Mar-18,"Two-Way , Not Divided",Wet,Daylight,Snow,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,4,1,Complains Of Pain,2,41.81737,-71.42278,TRUE,TRUE,"881 Westminster Street, Providence, RI, USA",FALSE,-71.4227003,41.8176757,street_address,rooftop,"881 westminster st, providence, ri 02903, usa",NA,NA,NA,NA,41.8176757,-71.4227003,High,34.66679738406783
1375,2018-03-20,711110,18:15:00,Bicycle,NA,1,FALSE,FALSE,1,BERGEN ST,ANDEM ST,21-Mar-18,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",Stop Signs,1,1,Complains Of Pain,NA,41.83078,-71.43984,FALSE,FALSE,"Bergen Street and Andem Street, Providence, RI, USA",FALSE,-71.439842,41.83078,intersection,geometric_center,"bergen st & andem st, providence, ri 02908, usa",NA,NA,NA,NA,41.83078,-71.439842,Med High,0.16589227279934105
1376,2018-03-17,709180,01:53:00,Pedestrian,1,NA,FALSE,FALSE,1,ACORN ST,ATWELLS AVE,17-Mar-18,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Other,"Yes, M/V and Driver Left Scene",No Controls,4,1,Complains Of Pain,2,41.82385,-71.42801,FALSE,FALSE,"Acorn Street and Atwells Ave, Providence, RI, USA",FALSE,-71.4280552,41.8236891,intersection,geometric_center,"acorn st & atwells ave, providence, ri 02903, usa",NA,NA,NA,NA,41.8236891,-71.4280552,Med High,18.299568432490858
