row_number	crash_date	crash_report_id	crash_time	collision_type	count_pedestrian	count_bicycle	scooter	wheel_chair	number_of_vehicles	street_or_highway	nearest_intersection	report_date	type_of_roadway	road_surface_condition	light_condition	weather_condition	manner_of_impact	hit_and_run	traffic_control	person_count	injury_count	most_serious_injury	number_of_lanes	lat_raw	lon_raw	has_st_number	is_intersection_null	address_sent_to_geocoder	is_address_blank	lon_api_first_try	lat_api_first_try	type	loctype	address_returned_by_geocoder	address_returned_by_autocomplete	place_ids_autocompleted	lat_api_second_try	lon_api_second_try	lat_api_best	lon_api_best	distance_btwn_coords_meters
31	2023-05-12	893835	01:47:00	Other	NA	NA	TRUE	FALSE	1	CHARLES ST	CHARLES ST	2023-05-12	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Dark - Lighted	Clear	Rear End(Front-to-Rear)	Yes, M/V and Driver Left Scene	Pavement Markings	2	1	Complains Of Pain	NA	41.83672	-71.41282	FALSE	FALSE	Charles Street and Charles Street, Providence, RI, USA	FALSE	-71.419539	41.8474982	route	geometric_center	charles st, providence, ri, usa	NA	NA	NA	NA	41.8474982	-71.419539	1322.901039788743
32	2023-05-13	893907	18:39:00	Bicycle	NA	1	FALSE	FALSE	1	CHALKSTONE AVE	BERLIN ST	2023-05-13	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	Stop Signs	1	1	Non-Incapacitating	NA	41.83228	-71.44197	FALSE	FALSE	Chalkstone Ave and Berlin Street, Providence, RI, USA	FALSE	-71.4417437	41.8322912	intersection	geometric_center	berlin st & chalkstone ave, providence, ri 02908, usa	NA	NA	NA	NA	41.8322912	-71.4417437	18.811631040400528
33	2023-05-16	893983	20:45:00	Bicycle	NA	1	FALSE	FALSE	1	SOUTH MAIN STREET	WILLIAMS	2023-05-16	One-Way Trafficway	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	1	1	Non-Incapacitating	NA	41.82157	-71.40438	FALSE	FALSE	South Main Street and Williams, Providence, RI, USA	FALSE	-71.4128343	41.8239891	locality	approximate	providence, ri, usa	South Main Street & Williams Street, Providence, RI, USA	EjhTb3V0aCBNYWluIFN0cmVldCAmIFdpbGxpYW1zIFN0cmVldCwgUHJvdmlkZW5jZSwgUkksIFVTQSJmImQKFAoSCU3-KUQ-ReSJEZh43BpZpiLvEhQKEglN_ilEPkXkiRGYeNwaWaYi7xoUChIJxfz7Uz5F5IkRx3FZv-YChPQaFAoSCc8VZi06ReSJEdbRK1lrMSoLIgoNFnXtGBUqkHDV	41.821519	-71.404335	41.821519	-71.404335	6.7946900059461175
34	2023-05-17	893990	07:33:00	Pedestrian	1	NA	FALSE	FALSE	1	BROAD ST	FOSTER ST	2023-05-17	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	1	1	Complains Of Pain	NA	41.81862	-71.41564	FALSE	FALSE	Broad Street and Foster Street, Providence, RI, USA	FALSE	-71.4154219	41.818852	intersection	geometric_center	foster st & broad st, providence, ri 02903, usa	NA	NA	NA	NA	41.818852	-71.4154219	31.533788303738827
35	2023-05-17	893992	09:22:00	Pedestrian	1	NA	FALSE	FALSE	1	SARATOGA ST	PLAIN ST	2023-05-17	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	1	1	Complains Of Pain	NA	41.80569	-71.41044	FALSE	FALSE	Saratoga Street and Plain Street, Providence, RI, USA	FALSE	-71.4098303	41.8062431	intersection	geometric_center	saratoga st & plain st, providence, ri 02905, usa	NA	NA	NA	NA	41.8062431	-71.4098303	79.69002955400016
36	2023-05-18	894031	08:16:00	Pedestrian	1	NA	FALSE	FALSE	1	PUTNAM ST	HALE ST	2023-05-18	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Complains Of Pain	NA	41.82432	-71.44381	FALSE	FALSE	Putnam Street and Hale Street, Providence, RI, USA	FALSE	-71.443871	41.823948	intersection	geometric_center	hale st & putnam st, providence, ri 02909, usa	NA	NA	NA	NA	41.823948	-71.443871	41.71887546812726
37	2023-05-23	895210	18:15:00	Bicycle	NA	1	TRUE	FALSE	1	COURTLAND ST	CARPENTER ST	2023-05-23	One-Way Trafficway	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	2	1	Complains Of Pain	NA	41.81739	-71.43062	FALSE	FALSE	Courtland Street and Carpenter Street, Providence, RI, USA	FALSE	-71.43067289999999	41.8176676	intersection	geometric_center	carpenter st & courtland st, providence, ri 02909, usa	NA	NA	NA	NA	41.8176676	-71.43067289999999	31.212381695666473
38	2023-05-24	895226	15:06:00	Bicycle	NA	1	FALSE	FALSE	1	CRANSTON ST	HANOVER ST	2023-05-24	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Complains Of Pain	NA	41.80947	-71.43356	FALSE	FALSE	Cranston Street and Hanover Street, Providence, RI, USA	FALSE	-71.4335598	41.80949100000001	intersection	geometric_center	cranston st & hanover st, providence, ri 02907, usa	NA	NA	NA	NA	41.80949100000001	-71.4335598	2.3377682081115587
39	2023-05-26	895286	15:43:00	Pedestrian	1	NA	FALSE	FALSE	1	RAILROAD ST	PARK ROW	2023-05-26	One-Way Trafficway	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	3	1	Complains Of Pain	NA	41.82902	-71.41297	FALSE	FALSE	Railroad Street and Park Row, Providence, RI, USA	FALSE	-71.4101424	41.8285609	route	geometric_center	park row, providence, ri 02903, usa	NA	NA	NA	NA	41.8285609	-71.4101424	240.04922032368367
40	2023-05-27	895314	14:14:00	Pedestrian	1	NA	TRUE	FALSE	1	WASHINGTON ST	MEMORIAL BLVD	2023-05-27	Two-Way, Divided, Positive Median Barrier	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	4	1	Complains Of Pain	NA	41.82635	-71.41015	FALSE	FALSE	Washington Street and Memorial Blvd, Providence, RI, USA	FALSE	-71.4134258	41.8263996	route	geometric_center	memorial blvd, providence, ri 02903, usa	Washington Street & Memorial Blvd, Providence, RI, USA	EjZXYXNoaW5ndG9uIFN0cmVldCAmIE1lbW9yaWFsIEJsdmQsIFByb3ZpZGVuY2UsIFJJLCBVU0EiZiJkChQKEgmdNVfiFkXkiRE6V1-x6gjhmRIUChIJnTVX4hZF5IkROldfseoI4ZkaFAoSCanazZwSReSJERoH0JajEjT2GhQKEgn3LDO1FkXkiRGsznR5eOTavSIKDZw07hgV6bBv1Q	41.826422	-71.4100503	41.826422	-71.4100503	11.516861483833047
